
1   level            n. 水平，水准，等级v. 弄平，铺平a. 水平的
2   patronage        n.赞助,资助,恩赐的态度,互惠互利
3   emphasize        vt. 强调,加强…的语气
4   sneakers         n.旅游鞋
5   cloud            n. 云(状物)；遮暗物，阴影；一大群
6   compliment       n. 敬意,赞扬;问候;vt. 恭维;称赞
7   cluster          n. 一串,一簇;vi. 群集;丛生
8   drop             n. 滴；落下；微量v. 落下；下降；失落
9   funeral          n. 丧葬,葬礼
10  extraordinary    a. 非常的；格外的；意外的；离奇的；临时的
11  chiefly          adv.多半，首要地
12  diver            n.潜水员，跳水运动员
13  purify           v. 使纯净，提纯
14  protracted       adj.延长了的
15  different        a. 差异的，差异的，不同的
16  tender           a. 脆弱的,娇嫩的;温柔的;vt. 提供,投标
17  become           vi. 变成，开始变得vt. 适合，同…相称
18  prairie          n.大草原，牧场
19  artist           n. 艺术家，美术家；(某方面的)能手
20  romanticism      n.浪漫主义
21  apartment        n.房间，套间；[美
22  principally      ad.主要，大抵
23  armour           n. 盔甲,装甲部队
24  inherit          v. 继承,经遗传而得(特性等)
25  daylight         n. 日光，白昼，黎明
26  density          n. 密集，密度，浓度
27  prey             vi./n. 捕食;被捕食的动物
28  suck             n./v. 吸;舔
29  steal            v. 偷，窃取；偷偷地做，巧取
30  argue            v. 不同意,辩论
31  retirement       n.退休，引退；退隐
32  investment       n. 投资，投资额
33  advanced         a. 超前的，先进的；高级的；开明的；前进的
34  shrink           vt./vi. 收缩;退缩,畏缩
35  nylon            n. 尼龙,尼龙长袜
36  discover         v. 发现，显示
37  cartoon          n. 漫画,动画片
38  donation         n.捐献
39  owner            n. 物主，所有者
40  vibration        n.颤动，振动；摆动
41  alcohol          n. 酒精，乙醇；含酒精的饮料
42  lose             v. 丢失，迷路，输掉，亏本，失败，走慢，使沉湎于
43  hold             v. 拿着；保有；托住；举行；继续n. 握住；船舱
44  mood             n. 心情，情绪；语气
45  overjoy          n.使大喜
46  slang            n.俚语；行话，黑话
47  rebel            v. 反抗，反叛，起义n. 叛逆者，起义者
48  lost             adj.失去的
49  fervent          a. 热情的,热烈的
50  straight         a. 直的；整齐的，端正的ad. 直接；正直，直率
51  attendant        n. 服务员;仆人
52  diploma          n. 毕业证书,文凭
53  catalog          n. 目录(册)v. 编目(录)
54  gorgeous         a. 令人十分愉快的,极好的;华丽的,灿烂的,绚丽的

55   yacht           n. 小帆船,快艇,帆船
56   servant         n. 仆人
57   flap            n./v. 拍打,挥动;垂下物;袋盖;慌乱
58   bat             n. 球拍，球棒，短棒；蝙蝠
59   round           a. 圆的prep. 围绕ad. 在周围v. 绕行n. (一)回合
60   suburb          n. 市郊，郊区
61   pianist         n.钢琴家
62   living-room     n. 起居室
63   warmth          n. 暖和，温暖；热心，热情
64   bravery         n.勇敢
65   discharge       v./n. 卸货;排出(液体,气体);开(炮等);释放;偿付
66   telescope       n. 望远镜v. 缩短，压缩
67   indignation     n. 愤怒，愤慨
68   remit           v.汇款，汇出
69   found           vt. 建立；创立；创办；使有根据；铸造；熔制
70   orchard         n. 果园，果园里的全部果树，<美俚>棒球场
71   preservation    n.保存，储藏；保持
72   bent            n. 爱好,癖好
73   widen           vt.加宽 vi.变宽
74   pepper          n. 胡椒粉，胡椒；辣椒
75   invariably      ad. 不变地,永恒地
76   commission      n. 委员会;佣金;军事任职;考察团; vt. 委任,任命,委托
77   profess         v.表白
78   aeroplane       n.飞机
79   orient          n. 东方，亚洲v. 使朝东，为…定位，使适应
80   coarse          a. 粗的,粗糙的;粗俗的
81   rotten          a. 腐烂的，腐朽的
82   scenery         n. 风景
83   impress         v. (on)印，盖印；留下印象，引人注目
84   receipt         n. 收到,收据
85   Antarctic       a./n. 南极的,南极
86   modification    n.缓和；修改；修饰
87   distort         vt. 扭曲,使变形;歪曲,曲解
88   conduct         n. 行为，品行v. 引导；管理；指挥(乐队)；传导
89   possibility     n. 可能，可能性；可能的事，希望
90   physics         n. 物理(学)
91   football        n. 足球
92   slightly        ad.稍微，有点
93   inquire         v. 询问，打听；调查；查问
94   actuality       n.实际
95   unit            n. 单位，单元；部件，元件；机组，装置
96   trench          n./v. (挖)沟，(挖)战壕
97   sturdy          a. 强健的,坚实的
98   misfortune      n. 不幸,灾祸
99   gesture         n./vi. 姿势,手势,表示
100  length          n. 长，长度；一段，一节，程度，范围
101  major           a. 主要的n. 成年人，专业学生，主修课程v. 主修
102  construe        v.翻译，解释
103  acrobat         n. 特技演员，杂技演员
104  trap            n. 陷阱;圈套;双轮轻便马车
105  shorts          n.短裤
106  alignment       n.队列；结盟，联合
107  sarcastic       a. 讽刺的
108  proceeding      n. 行动，进行，(pl.)会议录，学报

109  piano           n. 钢琴
110  marketing       n.市场学，营销学
111  cooperative     a. 合作的，协作的n. 合作社
112  other           a. 另外的，其他的n./pron. 另一个人(或事)
113  psychologist    n.心理学家
114  splash          v./n. 溅水,泼水;显示,鼓吹
115  peanut          n. 花生
116  multiple        a. 多样的，多重的n. 倍数v. 成倍增加
117  canvass         v.游说
118  transverse      a.横切的n.横轴
119  organizational  adj.组织的
120  reputation      n. 名誉,名声
121  flavor          n. 情味；风味；滋味v. 给…调味
122  Frenchman       n.法国人
123  ministry        n. (政府的)部；牧师
124  retroactive     adj.可追溯的,反动的
125  antagonist      n.对手，敌手
126  administration  n. 经营，管理；行政，行政机关，管理部门
127  massive         a. 大而重的;大量的,大规模的
128  grace           n. 优美，文雅；恩惠，恩泽；宽限，缓刑；感恩祷告
129  rehearse        v.排练
130  unexpected      a. 想不到的，意外的，未预料到
131  timely          a. 及时的,适时的
132  responsible     a. (for，to)应负责的；可靠的；责任重大的
133  exasperate      v. 激怒,使恼火
134  hostile         a. 敌方的;敌对的,不友好的
135  oral            a. 口头的
136  principal       a. 主要的;n. 校长
137  dispatch        v./n. (=despatch)派遣,发送,迅速办理,急件
138  intermediate    a./n. 中间的,中间物
139  lump sum        n.总数
140  first-rate      a.第一流的，优秀的
141  executive       n. 总经理，董事，行政负责人a. 执行的，实施的
142  applaud         v. 鼓掌欢迎;赞成
143  Turk            n.土耳其人
144  malady          n.病
145  shoe            n. 鞋
146  outer           a. 外部的，外面的，外层的
147  tempt           v. 诱惑，引诱；吸引，使感兴趣
148  goodness        n. 善良，仁慈；(食物等)精华int. 天哪
149  encourage       v. 鼓励，怂恿
150  backdate        v.回溯
151  routine         n. 例行公事,惯例,常规
152  brazil          n.巴西
153  pale            a. 苍白的，灰白的；浅的，暗淡的
154  ascribe         vt. 把…归因于;把…归属于
155  radiate         v. 辐射,(使)从中心发散,发出(光或热);流露,显示
156  chest           n. 胸腔，胸膛；箱，柜
157  advisable       a. 可取的，适当的，明智的
158  transit         n. 运输,搬运
159  registration    n.登记
160  cheeky          adj.胖乎乎的
161  corporate       a. 社团的;公司的;共同的
162  lab             n.实验室，研究室

163  succeed         vi. 成功；继承，接替vt. 接替；继…之后
164  impatience      n.不耐烦
165  grammatical     a.语法上的
166  postpone        vt. 推迟,延缓
167  date            n. 日期，年代v. 注明…的日期n./v. 约会
168  tub             n. 木盆，澡盆
169  summit          n. 顶点,高峰;峰会(最高级会谈)
170  yeast           n.酵母
171  pin             n. 大头针;vt. 用别针别住;钉住,使不能行动
172  fade            v. (使)褪色;逐渐消失
173  chapter         n. 章；回，篇
174  hygiene         n. 卫生
175  farmhouse       n.农舍
176  hairpin         n.发卡
177  aerial          a. 空气的,空中的 n. (无线电)天线
178  grim            a. 严酷的;讨厌的;严厉的
179  Brazilian       adj. &n.巴西的(人)
180  quicken         vt.加快 vi.加快
181  broad           a. 宽的，广阔的；广大的；宽宏的，豁达的
182  politeness      n.礼貌，客气
183  query           v. &n.询问
184  disperse        v. 使散开,使疏开,使分散
185  platinum        n.白金
186  currency        n.通货，货币
187  commonsense     a.有常识的
188  baker           n.面包师
189  opener          n.开罐器，起子
190  postman         n. 邮递员
191  navigable       a. (江河、海洋)可航行的,可通航的;(船)适航的
192  diverge         vi.分岔；分歧
193  tall            a. (身材)高的，高大的；夸大的，离谱的
194  silky           adj.丝绸般的
195  nickel          n. 镍,美国五分镍币
196  receive         v. 收到，接到；遭受，受到；接待，接见
197  upon            prep. 在…上；在…旁[=on
198  fluctuation     n.波动；脉动；踌躇
199  embassy         n. 大使馆
200  Chinese         a.中国的 n.中国人
201  refrigerator    n. 冰箱
202  revolution      n. 革命；旋转，转数
203  anniversary     n. 周年纪念
204  hungry          a. 饥饿的，渴望的
205  compass         n. 指南针,圆规,界限
206  gorge           n.咽喉，峡谷，山口
207  motorcycle      n.摩托车
208  craziness       n.疯狂
209  uphold          vt. 支持;赞成;确认
210  approximation   n.近似值
211  rusty           a.生锈的；变迟钝的
212  perpendicular   a. 垂直的,成直角的;直立的; n. 垂直线
213  Christmas       n．圣诞节
214  rehearsal       n. 排练，排演，演习，预演，试演
215  price           n. 价格，价钱；代价v. 标价
216  stillness       n.寂静，无声

